experiment,params,mean_train_accuracy,std_train_accuracy,mean_validation_accuracy,std_validation_accuracy,generalization_gap,rank_validation_accuracy,mean_fit_time_seconds
svm_rbf_select_k_best,"{'model__C': 10, 'model__gamma': 0.01, 'selector__k': 20}",0.7756584886356798,0.011661735719199715,0.6273079093767636,0.051413634360981696,0.14835057925891615,95,0.02040071487426758
svm_rbf_select_k_best,"{'model__C': 10, 'model__gamma': 0.001, 'selector__k': 30}",0.7059539810226886,0.008279040259044747,0.6235426912843667,0.015035606023064096,0.0824112897383219,96,0.023772001266479492
svm_rbf_select_k_best,"{'model__C': 100, 'model__gamma': 0.03, 'selector__k': 20}",0.9980987582499148,0.00184824852796883,0.6197855357574781,0.034968738057746085,0.3783132224924367,97,0.028406095504760743
svm_rbf_select_k_best,"{'model__C': 30, 'model__gamma': 'scale', 'selector__k': 20}",0.9968319324359566,0.0026509567022526635,0.6197774731919697,0.04056180791873392,0.37705445924398684,98,0.02901630401611328
svm_rbf_select_k_best,"{'model__C': 100, 'model__gamma': 'scale', 'selector__k': 20}",0.9990496298822444,0.0007759744919807367,0.6185277755381763,0.03761239436309961,0.38052185434406816,99,0.026712512969970702
svm_rbf_select_k_best,"{'model__C': 30, 'model__gamma': 0.03, 'selector__k': 20}",0.9794032979598386,0.0036187202419786266,0.618519712972668,0.026443838295968393,0.36088358498717066,100,0.02509961128234863
svm_rbf_select_k_best,"{'model__C': 1, 'model__gamma': 0.01, 'selector__k': 30}",0.7173569178920339,0.013339556908073256,0.6184874627106345,0.01452842984644297,0.09886945518139945,101,0.03616495132446289
svm_rbf_select_k_best,"{'model__C': 1, 'model__gamma': 'scale', 'selector__k': 20}",0.7785146141346868,0.004419657499991393,0.6159155043134724,0.031366888608927675,0.1625991098212144,102,0.026449251174926757
svm_rbf_select_k_best,"{'model__C': 30, 'model__gamma': 0.003, 'selector__k': 20}",0.7363663263054424,0.015902424237586605,0.6158913166169475,0.04176651270200961,0.1204750096884949,103,0.020535993576049804
svm_rbf_select_k_best,"{'model__C': 3, 'model__gamma': 0.003, 'selector__k': 30}",0.7012006258901884,0.009536873507487498,0.610876400870757,0.014279884704897147,0.09032422501943138,104,0.027639007568359374
svm_rbf_select_k_best,"{'model__C': 100, 'model__gamma': 0.001, 'selector__k': 20}",0.7287623623342494,0.01623604335317809,0.6070386196887849,0.03561299527998691,0.12172374264546448,105,0.02160186767578125
svm_rbf_select_k_best,"{'model__C': 3, 'model__gamma': 0.01, 'selector__k': 20}",0.7094349936809163,0.015863042968371717,0.6032814641618964,0.010768551559533266,0.1061535295190199,106,0.02211160659790039
svm_rbf_select_k_best,"{'model__C': 1, 'model__gamma': 0.03, 'selector__k': 20}",0.727813496760216,0.011190231250314263,0.5982020478916391,0.024922145106757346,0.1296114488685769,107,0.02825303077697754
svm_rbf_select_k_best,"{'model__C': 3, 'model__gamma': 0.001, 'selector__k': 50}",0.6878914321250175,0.009805849341384574,0.5906151737482868,0.021864012758710798,0.0972762583767307,108,0.036584901809692386
svm_rbf_select_k_best,"{'model__C': 10, 'model__gamma': 0.003, 'selector__k': 20}",0.6863036369836907,0.01868813599995704,0.5830041119084093,0.024670541424049387,0.1032995250752814,109,0.02096877098083496
svm_rbf_select_k_best,"{'model__C': 1, 'model__gamma': 0.003, 'selector__k': 50}",0.684086942566551,0.013013721039200715,0.5817624768201242,0.0289348323820283,0.10232446574642684,110,0.028337383270263673
